name,return_pct,trades,win_rate,sharpe,max_dd
"ST(10,2.5)+RSI(40-60)",-29.309911111027674,281,29.8932384341637,-1.1534243433552431,40.83473419612812
"ST(10,3.0)+1H_trend",-38.53670526309728,196,25.510204081632654,-1.9949906216576034,39.65561214649521
"ST(10,2.5)+1H_trend",-47.24571067962115,266,24.43609022556391,-2.595876361713219,47.56833481895387
"ST(10,2.5)+RSI(35-65)",-47.830966252772605,414,28.26086956521739,-1.906363029721383,53.36704212135369
"ST(10,3)+EMA8",-52.07551310122547,436,27.75229357798165,-1.8489015194239768,55.43974841660743
"ST(10,3)+EMA13",-52.07551310122547,436,27.75229357798165,-1.8489015194239768,55.43974841660743
"ST(10,3.0)",-52.07551310122547,436,27.75229357798165,-1.8489015194239768,55.43974841660743
"ST(14,3.0)",-52.43070860467829,438,27.168949771689498,-1.8495664682710697,56.04050260279416
"ST(10,3)+EMA21",-53.52925798611322,435,27.586206896551722,-1.9473537795241838,56.79144234179218
"ST(7,3.0)",-57.48838833725839,444,27.47747747747748,-2.1600355346839666,61.83886635234376
"ST(10,2.5)",-58.291637251713844,573,27.225130890052355,-2.185072989566707,62.00739628015482
"ST(10,2.5)+RSI(30-70)",-59.271075477866454,492,27.64227642276423,-2.465739538888706,62.18563043740054
"ST(7,2.0)+1H_trend",-62.4071749512876,393,21.62849872773537,-3.741772489501892,64.01697065926962
"ST(5,3.0)",-64.71128258440362,457,26.039387308533918,-2.7230133267205416,67.2328666721304
"ST(14,2.5)",-64.83698045245862,589,27.164685908319186,-2.60331811653971,67.66264692998531
"ST(7,2.5)",-65.12291501840052,582,26.11683848797251,-2.687289629269539,67.84226357187318
"ST(5,2.5)",-72.8268865322782,594,25.925925925925924,-3.377067573270315,74.86520336969407
"Combined: ST(7,2)+EMA13+RSI",-80.74537662042988,747,24.364123159303883,-4.454164742888012,82.40746101269471
"ST(7,2.0)",-82.14315039069892,809,24.351050679851667,-4.432600434419043,83.6845771143258
"ST(14,2.0)",-82.31474015468352,814,26.412776412776413,-4.359305081970623,83.91268924936733
"ST(10,2.0)",-82.81659997983154,809,24.969097651421507,-4.500136277777753,84.35299919934933
"ST(5,2.0)",-84.1534408967878,815,23.803680981595093,-4.7590532884551955,85.42732592538952
"ST(7,1.5)",-95.40738143703297,1215,22.304526748971192,-7.784359505346412,95.7133429949855
"ST(5,1.5)",-95.48152431724345,1215,22.304526748971192,-7.900330754738349,95.74775037926962
"ST(10,1.5)",-96.65105469871101,1246,22.87319422150883,-8.587031483453291,96.90339914813832
"ST(14,1.5)",-96.75863270886936,1248,23.63782051282051,-8.512773539483826,97.00929105245802
Momentum(0.3%),-98.61103747096045,1492,20.710455764075068,-13.650933102387237,98.64385998733857
Momentum(0.2%),-99.93446476254093,2494,16.960705693664796,-21.322172759809785,99.93625183278436
Momentum(0.1%),-99.99960682725603,4180,13.80382775119617,-33.864952936036474,99.99961499034087
