name,accuracy,edge,signals,score
EMA8 dist(0.5%),59.87460815047022,9.874608150470223,1276,185.96159210268416
Extreme RSI + Vol + EMA,58.065618591934374,8.065618591934374,2926,201.27136270403304
RSI + HighVol + EMA8,56.30181018440196,6.301810184401958,5911,212.35133941318043
RSI(25/75) + HighVol(1.5x),55.869842620161634,5.869842620161634,18808,238.8068492671002
RSI(30/70) + EMA8(0.2%),55.611115665218456,5.611115665218456,12199,227.2450494728199
EMA8 dist(0.3%),55.15041020966272,5.1504102096627165,6582,210.5840032967005
RSI(30/70) + HighVol(1.5x),54.895705521472394,4.895705521472394,24450,240.89766423458192
VolSpike + RSI(40/60) Rev,54.658173131611875,4.658173131611875,26373,241.6525032941583
RSI(20/80),54.36730123180291,4.367301231802912,35720,247.52950829564557
RSI(25/75),54.04306220095694,4.043062200956939,71060,262.1966826297446
RSI(30/70),53.40774350623686,3.407743506236862,126506,272.49224224936626
VolSpike + HighVol Rev,53.10430463576159,3.1043046357615935,28992,236.96617962764034
HighVol(2x) + EMA21 side,52.2181586897758,2.218158689775798,31445,234.85386311540842
HighVol(2.5x) Rev,52.01112785441057,2.0111278544105673,17254,220.36541676527472
HighVol(2x) Rev,51.53728911546749,1.5372891154674875,38054,236.06141523910932
